
2024/10/22 (12:39:23) | ===> btop++ v.1.4.0
2024/10/22 (12:39:23) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/10/22 (12:42:53) | ===> btop++ v.1.4.0
2024/10/22 (12:42:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/10/23 (03:04:25) | ===> btop++ v.1.4.0
2024/10/23 (03:04:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/10/23 (23:47:54) | ===> btop++ v.1.4.0
2024/10/23 (23:47:54) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/10/27 (16:13:35) | ===> btop++ v.1.4.0
2024/10/27 (16:13:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/10/27 (16:27:22) | ===> btop++ v.1.4.0
2024/10/27 (16:27:22) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/10/27 (16:27:30) | ===> btop++ v.1.4.0
2024/10/27 (16:27:30) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/10/27 (21:54:52) | ===> btop++ v.1.4.0
2024/10/27 (21:54:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/10/27 (21:55:04) | ===> btop++ v.1.4.0
2024/10/27 (21:55:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/10/27 (21:55:09) | ===> btop++ v.1.4.0
2024/10/27 (21:55:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2024/10/28 (22:43:50) | ===> btop++ v.1.4.0
2024/10/28 (22:43:50) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
